no.,statement,label
1,Tobacco is a good habit.,positif
2,smokers are more likely to get cancer than non-smokers.,negatif
3,"tobacco include fine motor skills, a better attention, and an improved memory",positif
4,tobacco worsen asthma and lower levels of vitamin a,negatif
5,improve short term concentration and aid digestion.,positif
6,smokers take 25% more sick days.,negatif
7,less risk of total joint replace ment surgery,positif
8,tobacco stain our teeth and gums.,negatif
9,https://orbitfutureacademy.com ,
10,,
